# GECK Function Index - Auto-generated from GECK wiki XML
# Format: Name | Origin | Signature | Summary | Categories
# Search this file with grep to find relevant functions.
# For full details, grep the original XML for the function name.
#
# Origins: GECK1=base game, NVSE=NVSE plugin, JIP=JIP LN NVSE, JG=JohnnyGuitar,
#          SO=ShowOff NVSE, kNVSE=kNVSE, NX=NX, Hot Reload, etc.

"componentPath<nowiki>|templateName|</nowiki>''altTileName''" | JIP | "componentPath<nowiki>|templateName|</nowiki>''altTileName''"("componentPath<nowiki>|templateName|</nowiki>''altTileName''":, formatVars(up to 20):?) -> int | Creates a new UI tile from a pre-defined Template, returning 1 on success. Function argument uses the following format:<pre> "componentPath|templateName|altTileName(optional)"</pre> | Functions (JIP); UI Functions (JIP); UI Functions; Functions_(ButcherPete FOSE); Functions (FO3)
"keyword:string" | JIP | "keyword:string"("keyword:string":) | Returns an array_var of forms associated with a specified keyword. | Functions (JIP); Keyword Functions (JIP); Array Functions
GetAvailablePerks | JohnnyGuitar | GetAvailablePerks() -> array | Returns an array of perks that are available to the player on its current level (same perks would be available in Level Up Menu). | Functions (JohnnyGuitar NVSE); Actor Functions; Perk Functions; Array Functions
GetAvailableRadios | JohnnyGuitar | reference.GetAvailableRadios() -> array_var | Returns an array_var of all talking activator refs available to the specified radio/jukebox reference. | Functions (JohnnyGuitar NVSE); Radio Functions; Array Functions
GetBarterGoldAlt | JIP | GetBarterGoldAlt() -> merchantCash:int | Returns the amount of money the merchant, with whom the player is currently trading, has available for bartering. This is the value displayed on the upper-right corner when in the barter menu. | Functions_(JIP); UI Functions (JIP); UI Functions
GetBarterItems | JIP | GetBarterItems(getSoldItems:0/1) -> barterItemRefs:array_var | Returns an array of unique temporary <i>Inventory References</i> to the items bartered in the current, active transaction. If the <i>getSoldItems</i> parameter is non-zero, the returned array will contain the items set to be <i>sold</i> by the player. Otherwise, the array will contain the items set to be <i>bought</i> by the player. | Functions_(JIP); UI Functions (JIP); UI Functions
GetBarterPriceMult | JIP | GetBarterPriceMult(buyOrSell:0/1) -> priceMult:float | Returns the 'item price' modifier (a multiplier applied to the base price) in the current 'Barter Menu' transaction. The '<i>buyOrSell</i>' argument determines which modifier is returned: *0 - Bought items *1 - Sold items | Functions (JIP); UI Functions (JIP); UI Functions
GetBaseActorValue | GECK1 | [actor:ref].GetBaseActorValue(ActorValue:string) -> float (alias: GetBaseAV) | Returns the base value of the specified stat for the calling actor. | Functions (GECK); Actor Value Functions; Condition Functions; Functions (FO3)
GetBaseActorValueAlt | JIP | reference.GetBaseActorValueAlt(actorValue:StatName, baseForm:ref?) -> statValue:float (alias: GetBaseAVAlt) | An alternate version of the vanilla function GetBaseActorValue. This version may be called on a reference, as well as (optionally) on a base form. | Functions_(JIP); Actor Functions (JIP); Actor_Functions; Actor Value Functions
GetBaseEffectFlag | JIP | GetBaseEffectFlag(baseEffect:ref, flagID:int) -> isFlagSet:0/1 | Returns whether or not the specified flag (determined by <i>flagID</i>) is set for the specified 'Base Effect'. | Functions (JIP); Effect Functions (JIP); Game Effect Functions; Flag Functions
GetBaseEffectScript | JIP | GetBaseEffectScript(baseEffect:ref) -> script:ref | Returns the associated 'Script' of the specified script-type 'Base Effect'. | Functions (JIP); Effect Functions (JIP); Game Effect Functions
GetBaseEquippedWeight | ShowOff | actorRefr.GetBaseEquippedWeight(minWeight:float?, flagsMask:int?) -> float | Returns the total amount of base weight for the items that the calling Actor reference has equipped. This ignores weight modification effects, such as the "Modify Light Items" Perk Entry Point. minWeight is the minimum weight an equipped item must have in order to be included in the total. If omitted, it defaults to 0. flagsMask is a bitmask containing filters for what kinds of items to get. If flags is omitted / set to 0, the function will check for every playable equipped item. Otherwise, it can be used to specify which equip slots to check for, and further filters. *If an equipped item occupies multiple equip slots, the function will not count duplicates. | Actor Functions; Inventory Functions; Condition Functions; Bit Functions; Functions (ShowOff NVSE)
GetBaseFactionRank | JIP | reference.GetBaseFactionRank(faction:ref, baseActor:ref?) -> factionRank:int | Returns the 'Base Actors rank in the specified 'Faction'. If the base actor is not in the faction, returns -1. | Functions (JIP); Actor Functions (JIP); Actor Functions; Faction Functions (JIP); Faction Functions
GetBaseFactions | NVSE | actor.GetBaseFactions(Target:actor?) -> array | Returns an array containing all factions to which the base form of the specified actor (which may be base) or calling reference belongs. | Faction Functions; Actor Functions; Functions_(NVSE); Array Functions
GetBaseForm | NVSE | reference.GetBaseForm() -> form (alias: gbf) | Returns the actual Base Form of a leveled calling reference. | Functions_(NVSE); Leveled_List_Functions
GetBaseHealth | FOSE1 | reference.GetBaseHealth(form:baseform) -> int (alias: GetHealth) | Returns the base health of an object. If form is specified, will check that BaseForm. Otherwise, if a calling reference is specified, will derive the BaseForm of that object in order to check its base health. | Functions_(FOSE); Functions_(NVSE); Condition Functions; Actor Value Functions; Functions (FO3)
GetBaseItems | JIP | reference.GetBaseItems(baseForm:form?) -> baseItems:array_var | Returns an 'array_var' of the 'Item List' of a base form ('Container'/'Actor'). | Functions (JIP); Inventory Functions (JIP); Inventory Functions; Array Functions
GetBaseKarma | LU | reference.GetBaseKarma(actorBase:form?) -> baseKarma:float | Returns the base karma value of an actor base form. | Functions (JIP); Actor Functions (JIP); Actor Functions; Karma Functions
GetBaseNthFaction | NVSE | actor.GetBaseNthFaction(NthFaction:int, Target:actor-character-creature?) -> faction | Returns the Nth faction of the baseform of the calling reference or specified form. The order of factions matches that of GetBaseNthRank. | Faction Functions; Actor Functions; Functions_(NVSE)
GetBaseNthRank | NVSE | actor.GetBaseNthRank(NthFaction:int, Target:actor-character-creature?) -> int | Returns the Nth faction rank of the base form of the calling reference or specified form. The order of ranks returned matches that of GetBaseNthFaction. | Faction Functions; Actor Functions; Functions_(NVSE)
GetBaseNumFactions | NVSE | Actor.GetBaseNumFactions(Target:NPC?) -> int | Returns the number of factions to which the base form of the calling reference or specified NPC belongs. | Faction Functions; Actor Functions; Functions_(NVSE)
GetBaseObject | FOSE1 | reference.GetBaseObject() -> form (alias: gbo) | Returns the Base Object id of the calling reference. | Functions_(FOSE); Functions_(NVSE); Functions (FO3)
GetBasePackages | NVSE | actor.GetBasePackages(Target:actor?) -> array | Returns an array containing all Packages attached to the base form of the specified actor or calling reference. | Functions_(NVSE); Array Functions; AI Functions; Package Functions
GetBaseRanks | NVSE | actor.GetBaseRanks(Target:NPC-or-Actor?) -> array | Returns an array containing the ranks for each faction to which the base form of the calling reference or specified NPC belongs. The order of ranks corresponds to the factions returned by GetBaseFactions. Note that in Fallout: New Vegas, ranks are largely unused are usually zero. | Faction Functions; Actor Functions; Functions_(NVSE); Array Functions
GetBaseScale | JohnnyGuitar | ref.GetBaseScale() -> float (alias: GetBasedScale) | Returns base scale of a reference. If called on an NPC, will return their base height. | Functions (JohnnyGuitar NVSE); Scale Functions; Condition Functions
GetBaseSpellListLevSpells | NVSE | actor.GetBaseSpellListLevSpells(Target:actor?) -> array | Returns an array containing all leveled spells attached to the base form of the specified actor or calling reference. Note that leveled spells may be unused in vanilla Fallout: New Vegas. | Functions_(NVSE); Array Functions; Game Effect Functions
GetBaseSpellListSpells | NVSE | actor.GetBaseSpellListSpells(Target:actor?) -> array | Returns an array containing all spells attached to the base form of the specified actor or calling reference. | Functions_(NVSE); Array Functions; Game Effect Functions
GetBipedIconPath | NVSE | reference.GetBipedIconPath(BipedPathCode:int, Object:form?) -> Path:string | Returns the DDS file path to the specified biped icon for the specified object or calling reference. | Functions_(NVSE); String Functions; Armor Functions; Weapon Functions; File Functions; Texture Functions
GetBipedModelList | LU | GetBipedModelList(armor:form) -> modelList:ref (alias: GetBMList) | Returns the 'Biped Model List' of the specified 'Armor' or 'Weapon' form. | Functions (JIP); Armor Functions (JIP); Armor Functions; Weapon Functions (JIP); Weapon Functions; File Functions; Model Functions; Functions_(Command Extender); Functions (FO3)
GetBipedModelPath | NVSE | reference.GetBipedModelPath(BipedPathCode:int, Object:form?) -> Path:string | Returns the NIF file path to the specified biped model for the specified object or calling reference. | Functions_(NVSE); Armor Functions; Weapon Functions; String Functions; File Functions; Model Functions
GetBlockTextureSet | JIP | reference.GetBlockTextureSet(blockName:string) -> textures:array_var | Returns an 'array_var' containing the file paths (string_vars) of the textures in the texture set of the specified NIF block, in the calling reference's loaded 3D model. *If the specified block is not found, or does not have a texture set, the function returns a <i>null</i> array. Otherwise, the function returns an array of 6 elements, as the number of slots in a texture set. | Functions (JIP); Misc Reference Functions (JIP); Model Functions; File Functions; Array Functions
GetBodyPartData | LU | GetBodyPartData(creature:form) -> bodyPartData:ref | Returns the 'Body Part Data' form of a 'Creature' form. With later JIP developments, this can also be used with 'NPC' forms (i.e. humans). In this case, it will always return the 'DefaultBodyPartData' (formID '1D'). | Functions (JIP); Body-Part Data Functions (JIP); Actor Functions (JIP); Actor Functions
GetBodyPartDataHasPart | JIP | GetBodyPartDataHasPart(bodyPartData:ref, partID:int) -> hasPart:0/1 | Returns 1 if the passed Body-Part data has the specified body-part type (determined by <i>partID</i>). | Functions_(JIP); Body-Part Data Functions (JIP)
GetBodyPartDataRagdoll | JIP | GetBodyPartDataRagdoll(bodyPartData:ref) -> ragDoll:ref | Returns the Ragdoll used by a Body-Part data. | Functions_(JIP); Body-Part Data Functions (JIP)
GetBodyPartDataSkeleton | JIP | GetBodyPartDataSkeleton(bodyPartData:ref) -> modelPath:string_var | Returns the Skeleton Model path of a Body-Part data. | Functions_(JIP); Body-Part Data Functions (JIP)
GetBodyPartFlag | JIP | GetBodyPartFlag(bodyPartData:ref, partID:int, flagID:int) -> flagValue:0/1 | Returns whether or not the specified flag (determined by <i>flagID</i>) is set for the specified body-part type (determined by <i>partID</i>) of the passed Body-Part Data. | Functions_(JIP); Body-Part Data Functions (JIP); Flag Functions
GetBodyPartName | JIP | GetBodyPartName(bodyPartData:ref, partID:int) -> partName:string_var | Returns the name of the specified body-part type (determined by <i>partID</i>) of the passed Body-Part Data, as a string. | Functions_(JIP); Body-Part Data Functions (JIP); Actor Functions (JIP); Actor Functions; Name Functions_(JIP); Name Functions; String Functions
GetBodyPartReplacementModel | JIP | GetBodyPartReplacementModel(bodyPartData:ref, partID:int) -> modelPath:string_var | Returns the <i>Limb Replacement</i> model path of the specified body-part type (determined by <i>partID</i>) of the passed Body-Part data. | Functions_(JIP); Body-Part Data Functions (JIP); File Functions; Model Functions
GetBodyPartTraitForm | JIP | GetBodyPartTraitForm(bodyPartData:ref, partID:int, traitID:int) -> traitValue:ref | Returns the form-type value of the specified trait (determined by <i>traitID</i>), of the specified body-part type (determined by <i>partID</i>) of the passed Body-Part data. | Functions_(JIP); Body-Part Data Functions (JIP)
GetBodyPartTraitNumeric | JIP | GetBodyPartTraitNumeric(bodyPartData:ref, partID:int, traitID:int) -> traitValue:float | Returns the numeric value of the specified trait (determined by <i>traitID</i>), of the specified body-part type (determined by <i>partID</i>) of the passed Body-Part data. | Functions_(JIP); Body-Part Data Functions (JIP)
GetBroadcastState | GECK1 | [radio:ref].GetBroadcastState() -> int | GetBroadcastState returns a 1 if the selected radio station is currently broadcasting continuously, 0 if continuous broadcast is turned off (station just plays static). | Functions (GECK); Condition Functions; Radio Stations; Radio Functions; Functions (FO3)
GetBufferedCells | JIP | GetBufferedCells(getInteriors:0/1) -> buffCells:array_var | Returns an 'array_var' containing all the 'Cells' currently buffered in memory. If '<i>getInteriors</i>' is non-zero, the array will contain all buffered interiors, otherwise all buffered exteriors. | Functions (JIP); Cell Functions (JIP); Array Functions; Cell Functions
